t,starx,stary,starz,starvx,starvy,starvz,star_sx, star_sy, star_sz, a1,i1,e1,s1x,s1y,s1z,mag1,pom1,Om1,f1,p1x,p1y,p1z,p1vx,p1vy,p1vz,a2,i2,e2,s2x,s2y,s2z,mag2,pom2,Om2,f2,p2x,p2y,p2z,p2vx,p2vy,p2vz
1240.000000,-0.000003,0.000003,0.000000,-0.000019,-0.000036,-0.000000,-0.000000,-0.000001,18.250000,0.173019,0.008725,0.010592,1.2250572694,0.4803609562,72.9403845320,72.9522529305,0.357190,2.020931,6.272498,0.161004,0.058137,-0.001486,-0.825443,2.285180,-0.002191,0.232872,0.007521,0.009609,-2.3006749415,-3.9358041304,121.5572764078,121.6427355292,0.286443,-1.120596,4.471162,0.010549,-0.233144,-0.000692,2.064547,0.112713,0.014349
1280.000000,-0.000001,0.000006,0.000000,-0.000061,-0.000015,0.000000,-0.000000,-0.000001,18.250000,0.173018,0.008725,0.010133,1.2636363394,0.3308683119,72.9390166661,72.9507121477,0.377988,1.882953,4.886510,0.090574,-0.147032,-0.000358,2.037894,1.283592,-0.020361,0.232884,0.007520,0.010087,-2.8413430504,-3.6668166192,121.5534797444,121.6419632052,0.291066,-1.258574,4.282662,-0.032319,-0.231592,-0.000766,2.046314,-0.266436,0.014030
1320.000000,0.000003,0.000005,-0.000000,-0.000056,0.000033,-0.000000,-0.000000,-0.000001,18.250000,0.173022,0.008725,0.010423,1.2869111937,0.1803991601,72.9375959940,72.9491713021,0.356413,1.745910,3.615555,-0.117793,-0.128898,0.001208,1.765910,-1.598382,-0.012743,0.232876,0.007521,0.009695,-3.3527453077,-3.3216871214,121.5495981365,121.6411908589,0.339691,-1.395642,4.081486,-0.067234,-0.224327,-0.000792,1.978287,-0.576030,0.013896
1360.000000,0.000004,0.000002,-0.000000,-0.000014,0.000045,-0.000000,-0.000000,-0.000001,18.250000,0.173014,0.008723,0.010327,1.2954703289,0.0298519840,72.9361203309,72.9476304169,0.410196,1.608439,2.324945,-0.160023,0.068884,0.001372,-0.960416,-2.185592,0.009089,0.232871,0.007519,0.009790,-3.8238552498,-2.9032271087,121.5456326429,121.6404184931,0.302011,-1.533132,3.994829,-0.094601,-0.214410,-0.000772,1.889898,-0.817186,0.013968
1400.000000,0.000002,0.000000,0.000000,0.000009,0.000013,-0.000001,-0.000000,-0.000000,18.250000,0.173017,0.008726,0.009897,1.2896914489,-0.1203079270,72.9345885056,72.9460895354,0.399274,1.470897,1.118810,0.009078,0.172016,0.000071,-2.410065,0.148602,0.021054,0.232852,0.007522,0.010244,-4.2438502431,-2.4158905448,121.5415842953,121.6396461069,0.338066,-1.670663,3.864319,-0.114538,-0.204771,-0.000704,1.801640,-0.991690,0.014227
1440.000000,-0.000001,0.000002,0.000000,-0.000014,-0.000018,-0.000000,-0.000000,-0.000000,18.250000,0.173015,0.008725,0.010210,1.2695255191,-0.2694973941,72.9330025105,72.9445486592,0.380906,1.332942,6.223757,0.162472,0.054114,-0.001266,-0.768770,2.303859,0.011255,0.232851,0.007521,0.009925,-4.6023607176,-1.8657748458,121.5374541245,121.6388737001,0.373930,-1.808591,3.764235,-0.127495,-0.197073,-0.000583,1.732481,-1.106581,0.014623
1480.000000,0.000000,0.000005,0.000000,-0.000052,-0.000007,-0.000000,-0.000000,-0.000000,18.250000,0.173009,0.008724,0.010332,1.2349166122,-0.4170827302,72.9313609116,72.9430077626,0.433943,1.195519,5.016499,0.116032,-0.127573,-0.001350,1.768136,1.640289,-0.009107,0.232868,0.007519,0.009820,-4.8897251332,-1.2605816985,121.5332432042,121.6381012752,0.335073,-1.946003,3.766485,-0.134619,-0.192268,-0.000412,1.690837,-1.169375,0.015052
1520.000000,0.000003,0.000005,0.000000,-0.000059,0.000030,0.000000,-0.000000,-0.000000,18.250000,0.173022,0.008727,0.009844,1.1854400711,-0.5624510116,72.9296644861,72.9414668166,0.437534,1.057951,3.924641,-0.059773,-0.163639,-0.000246,2.248116,-0.803373,-0.020536,0.232860,0.007522,0.010323,-5.0972444731,-0.6095348149,121.5289526463,121.6373288313,0.360904,-2.083591,3.733534,-0.136059,-0.191411,-0.000185,1.681502,-1.180619,0.015379
1560.000000,0.000005,0.000003,-0.000000,-0.000032,0.000052,-0.000000,-0.000000,-0.000000,18.250000,0.173008,0.008726,0.010246,1.1204706378,-0.7045360509,72.9279161591,72.9399258349,0.428689,0.920970,2.900895,-0.171642,-0.032654,0.001020,0.439010,-2.339467,-0.015403,0.232868,0.007521,0.009831,-5.2174248973,0.0767387653,121.5245836600,121.6365563683,0.393989,-2.220601,3.723132,-0.131641,-0.194389,0.000096,1.708026,-1.143147,0.015431
1600.000000,0.000004,0.000001,-0.000000,-0.000000,0.000040,-0.000000,-0.000000,-0.000000,18.250000,0.173007,0.008727,0.009993,1.0394893221,-0.8420070990,72.9261165102,72.9383848413,0.477300,0.783043,1.856484,-0.119879,0.125382,0.001514,-1.748823,-1.640212,0.000620,0.232853,0.007522,0.010102,-5.2442034401,0.7863688062,121.5201377409,121.6357838886,0.364580,-2.358537,3.802846,-0.121663,-0.200701,0.000424,1.764744,-1.054690,0.014987
1640.000000,0.000001,0.000001,-0.000000,0.000008,0.000006,-0.000000,-0.000000,-0.000000,18.250000,0.173009,0.008724,0.009654,0.9419120244,-0.9732919905,72.9242668488,72.9368438513,0.450569,0.645505,0.910969,0.035729,0.168221,0.000985,-2.361912,0.520303,0.016022,0.232838,0.007520,0.010453,-5.1731558746,1.5064424068,121.5156166327,121.6350113908,0.412397,-2.496060,3.835565,-0.105125,-0.209836,0.000785,1.844294,-0.908410,0.013800
1680.000000,-0.000001,0.000002,-0.000000,-0.000014,-0.000023,-0.000000,-0.000000,-0.000000,18.250000,0.173006,0.008726,0.010062,0.8272297315,-1.0963097280,72.9223710455,72.9353028577,0.442724,0.508050,6.260167,0.156400,0.069792,-0.000132,-0.990078,2.217413,0.021109,0.232841,0.007522,0.010041,-5.0016708226,2.2232354015,121.5110224639,121.6342388757,0.436429,-2.633493,3.921723,-0.081342,-0.219926,0.001148,1.934994,-0.700025,0.011681
1720.000000,-0.000002,0.000005,-0.000000,-0.000047,-0.000026,-0.000000,-0.000000,-0.000000,18.250000,0.173000,0.008727,0.010010,0.6953531712,-1.2085684331,72.9204324143,72.9337618472,0.497460,0.370127,5.305053,0.152525,-0.079529,-0.001129,1.100214,2.152987,0.014043,0.232857,0.007522,0.010132,-4.7290969743,2.9224777865,121.5063574496,121.6334663457,-5.883773,-2.771418,4.096786,-0.050242,-0.228742,0.001467,2.015968,-0.425209,0.008467
1760.000000,-0.000000,0.000006,-0.000000,-0.000066,-0.000008,-0.000000,-0.000000,-0.000000,18.250000,0.173012,0.008724,0.009610,0.5466104813,-1.3073910834,72.9184529219,72.9322208012,0.479095,0.232677,4.478678,0.042117,-0.168176,-0.001512,2.321541,0.604561,0.000462,0.232849,0.007519,0.010523,-4.3568503407,3.5896481115,121.5016233739,121.6326937996,-5.838494,-2.908899,4.219618,-0.011248,-0.233705,0.001690,2.060633,-0.079910,0.004158
1800.000000,0.000001,0.000006,-0.000000,-0.000061,0.000013,0.000000,-0.000000,-0.000000,18.250000,0.173001,0.008725,0.010060,0.3817321045,-1.3898604185,72.9164358255,72.9306797231,0.490316,0.095444,3.675916,-0.090633,-0.149099,-0.001220,2.043142,-1.227441,-0.012359,0.232855,0.007520,0.009978,-3.8884831729,4.2102800659,121.4968209640,121.6319212377,-5.829680,-3.046169,4.409400,0.035017,-0.230875,0.001753,2.039887,0.329358,-0.001004
1840.000000,0.000001,0.000004,-0.000000,-0.000039,0.000023,0.000000,0.000000,-0.000000,18.250000,0.172997,0.008725,0.009655,0.2020638173,-1.4528457542,72.9143858867,72.9291386196,0.520351,-0.041922,2.902167,-0.167773,-0.048406,-0.000483,0.655025,-2.289880,-0.019722,0.232845,0.007520,0.010402,-3.3297143255,4.7702811683,121.4919493012,121.6311486624,0.442890,3.099630,4.647427,0.085969,-0.216526,0.001600,1.916964,0.784218,-0.006496
1880.000000,0.000000,0.000002,-0.000000,-0.000010,0.000014,0.000000,0.000000,-0.000000,18.250000,0.173000,0.008727,0.009593,0.0096956788,-1.4932339527,72.9123078481,72.9275975017,0.478498,-0.179759,2.237750,-0.158511,0.071805,0.000369,-1.002739,-2.169552,-0.020193,0.232828,0.007522,0.010484,-2.6884021064,5.2562454731,121.4870065527,121.6303760724,0.503666,2.961801,4.845371,0.138211,-0.186928,0.001198,1.656037,1.251154,-0.011487
1920.000000,-0.000002,-0.000000,-0.000000,0.000014,-0.000009,0.000000,0.000000,-0.000000,18.250000,0.172999,0.008724,0.010045,-0.1925691855,-1.5081454406,72.9102058164,72.9260563705,0.500204,-0.317552,1.546324,-0.079207,0.153731,0.001058,-2.148942,-1.079935,-0.014805,0.232824,0.007520,0.010051,-1.9744653824,5.6557542468,121.4819919577,121.6296034675,0.504256,2.824029,5.135329,0.185461,-0.139123,0.000558,1.233644,1.676115,-0.014871
1960.000000,-0.000004,-0.000001,-0.000000,0.000026,-0.000036,0.000000,0.000000,-0.000000,18.250000,0.172993,0.008724,0.009723,-0.4012809341,-1.4950654215,72.9080837405,72.9245152313,0.542530,-0.454940,0.865864,0.027787,0.169625,0.001436,-2.384811,0.408777,-0.005938,0.232838,0.007519,0.010425,-1.1997266883,5.9576659046,121.4769087802,121.6288308501,0.484594,2.686650,5.475901,0.219212,-0.073303,-0.000229,0.647172,1.984583,-0.015543
2000.000000,-0.000005,-0.000002,-0.000000,0.000027,-0.000057,0.000000,0.000000,-0.000000,18.250000,0.172992,0.008726,0.009552,-0.6123791637,-1.4519534500,72.9059460603,72.9229740755,0.505699,-0.592694,0.302436,0.118412,0.123924,0.001474,-1.749502,1.681110,0.003640,0.232847,0.007521,0.010573,-0.3776841228,6.1524170119,121.4717648924,121.6280582204,0.541890,2.548881,5.770657,0.230589,0.006768,-0.001011,-0.072144,2.090270,-0.012737
2040.000000,-0.000006,-0.000002,0.000000,0.000022,-0.000064,-0.000000,0.000000,-0.000000,18.250000,0.173011,0.008724,0.009979,-0.8212284938,-1.3773952729,72.9037978583,72.9214328996,0.536247,-0.729746,5.995291,0.166088,0.042114,0.001240,-0.603264,2.351051,0.011779,0.232825,0.007520,0.010085,0.4767520798,6.2323466028,121.4665680767,121.6272855779,0.527145,2.411797,6.169707,0.211040,0.092644,-0.001577,-0.843623,1.915746,-0.006508
