,K,mag,filename
223,427.34,0.2317932941217889,IC223K4.2734e+02mag2.3179e-01.bin
226,616.47,0.010826308766357179,IC226K6.1647e+02mag1.0826e-02.bin
228,70.408,0.04219182398833109,IC228K7.0408e+01mag4.2192e-02.bin
235,726.4,0.03699313519911422,IC235K7.2640e+02mag3.6993e-02.bin
237,945.4,0.005201846780886675,IC237K9.4540e+02mag5.2018e-03.bin
239,41.655,0.002451387438276329,IC239K4.1655e+01mag2.4514e-03.bin
240,38.638000000000005,0.019549272356819504,IC240K3.8638e+01mag1.9549e-02.bin
241,169.78,0.05431499108733257,IC241K1.6978e+02mag5.4315e-02.bin
243,26.018,0.22180736520266636,IC243K2.6018e+01mag2.2181e-01.bin
245,651.19,0.00217565492339598,IC245K6.5119e+02mag2.1757e-03.bin
247,53.996,0.5279885510888243,IC247K5.3996e+01mag5.2799e-01.bin
248,242.09,0.028517077601001962,IC248K2.4209e+02mag2.8517e-02.bin
251,188.46,0.002037273911224723,IC251K1.8846e+02mag2.0373e-03.bin
255,84.698,0.004667734561578279,IC255K8.4698e+01mag4.6677e-03.bin
257,723.86,0.26300770541197305,IC257K7.2386e+02mag2.6301e-01.bin
259,240.13,0.002006951100097585,IC259K2.4013e+02mag2.0070e-03.bin
261,399.83,0.0286702897523633,IC261K3.9983e+02mag2.8670e-02.bin
270,244.48,0.2662492776722173,IC270K2.4448e+02mag2.6625e-01.bin
272,31.293000000000003,0.43222726490344604,IC272K3.1293e+01mag4.3223e-01.bin
282,54.556999999999995,0.014968113833411671,IC282K5.4557e+01mag1.4968e-02.bin
283,156.61,0.009547061327203014,IC283K1.5661e+02mag9.5471e-03.bin
288,127.8,0.1396681564536834,IC288K1.2780e+02mag1.3967e-01.bin
289,284.62,0.037219133330314944,IC289K2.8462e+02mag3.7219e-02.bin
290,35.223,0.006128906062777926,IC290K3.5223e+01mag6.1289e-03.bin
293,428.03,0.11723313131673163,IC293K4.2803e+02mag1.1723e-01.bin
294,216.8,0.002564296173234518,IC294K2.1680e+02mag2.5643e-03.bin
295,175.51,0.009878956455710864,IC295K1.7551e+02mag9.8790e-03.bin
301,47.266999999999996,0.060357667842208064,IC301K4.7267e+01mag6.0358e-02.bin
308,370.62,0.11657040855345505,IC308K3.7062e+02mag1.1657e-01.bin
310,433.55,0.10132248024306556,IC310K4.3355e+02mag1.0132e-01.bin
311,81.111,0.02082148912478946,IC311K8.1111e+01mag2.0821e-02.bin
314,681.94,0.05829425292387275,IC314K6.8194e+02mag5.8294e-02.bin
316,458.29,0.1723426140120887,IC316K4.5829e+02mag1.7234e-01.bin
317,40.616,0.15097551611282387,IC317K4.0616e+01mag1.5098e-01.bin
318,149.09,0.010484058947535471,IC318K1.4909e+02mag1.0484e-02.bin
320,268.35,0.0058600296578837155,IC320K2.6835e+02mag5.8600e-03.bin
